"country_name","release_year","total_titles"
Egypt,2017,14
Argentina,2017,14
Turkey,2015,13
India,2003,13
Australia,2020,13
Argentina,2019,13
France,2021,13
Italy,2019,13
Italy,2016,13
Taiwan,2020,13
Belgium,2017,13
Mexico,2021,13
Belgium,2019,13
Turkey,2016,13
United States,1992,13
Germany,2014,12
Brazil,2017,12
France,2011,12
Canada,2021,12
Thailand,2019,12
Italy,2017,12
Nigeria,2020,12
United States,1994,11
Argentina,2016,11
United Kingdom,2005,11
Philippines,2017,11
Japan,2013,11
South Korea,2012,11
Japan,2010,11
United States,1991,11
Japan,2011,10
Turkey,2017,10
Unknown,2009,10
Philippines,2015,10
Turkey,2018,10
Colombia,2019,10
China,2015,10
United States,1989,10
Japan,2008,10
India,2002,10
United Kingdom,2007,10
Australia,2021,10
Turkey,2013,10
Netherlands,2017,10
Philippines,2016,10
Mexico,2015,9
France,2009,9
Canada,2009,9
Indonesia,2017,9
Egypt,2012,9
Taiwan,2018,9
Indonesia,2019,9
Germany,2021,9
United Kingdom,2006,9
United States,1986,9
Philippines,2018,9
Indonesia,2016,9
Italy,2021,8
Taiwan,2019,8
Egypt,2011,8
South Korea,2014,8
India,2001,8
Netherlands,2016,8
Canada,2013,8
Australia,2010,8
Netherlands,2015,8
Turkey,2019,8
Germany,2005,8
Taiwan,2015,8
Brazil,2016,8
Taiwan,2016,8
Sweden,2016,7
Belgium,2013,7
Italy,2018,7
China,2021,7
Russia,2015,7
Japan,2012,7
United States,1987,7
Egypt,2016,7
Hong Kong,2018,7
South Africa,2018,7
Nigeria,2015,7
Denmark,2016,7
France,2012,7
Netherlands,2018,7
Poland,2020,7
Denmark,2014,7
Belgium,2015,7
Germany,2009,7
Ireland,2018,7
Taiwan,2017,7
India,2000,7
Germany,2013,7
Sweden,2017,7
Argentina,2015,7
Brazil,2021,7
Spain,2013,6
South Korea,2013,6
Chile,2016,6
Turkey,2010,6
Thailand,2018,6
Egypt,2019,6
India,1999,6
United Arab Emirates,2018,6
Ireland,2017,6
Taiwan,2009,6
South Africa,2016,6
India,1998,6
United Kingdom,2003,6
Canada,2007,6
South Africa,2015,6
Hong Kong,2019,6
Turkey,2020,6
Germany,2002,6
Poland,2018,6
Egypt,2013,6
India,1982,6
Hong Kong,2017,6
Philippines,2013,6
Denmark,2018,6
Malaysia,2018,6
United Kingdom,1992,6
Taiwan,2013,6
Chile,2015,6
Germany,2012,6
Singapore,2014,6
Indonesia,2015,6
South Africa,2020,6
France,2002,6
Colombia,2020,6
Thailand,2020,6
Thailand,2017,6
Germany,2011,6
Unknown,2011,6
United States,1984,6
United Arab Emirates,2016,5
United Kingdom,2001,5
India,1994,5
Norway,2020,5
Egypt,2008,5
South Africa,2019,5
United Arab Emirates,2019,5
United States,1980,5
Egypt,2010,5
China,2008,5
Singapore,2012,5
Israel,2018,5
Germany,2006,5
Belgium,2021,5
Hong Kong,2013,5
Netherlands,2020,5
Taiwan,2012,5
India,1995,5
Norway,2016,5
Singapore,2019,5
Mexico,2010,5
Hong Kong,2014,5
Thailand,2016,5
Germany,2008,5
Israel,2016,5
New Zealand,2016,5
Turkey,2021,5
United States,1981,5
Japan,2006,5
Hong Kong,2010,5
New Zealand,2018,5
United Arab Emirates,2014,5
Japan,2003,5
South Africa,2021,5
Egypt,2006,5
Philippines,2020,5
Pakistan,2018,5
Japan,2005,5
Norway,2014,5
United States,1976,5
Thailand,2015,5
Japan,2009,5
Pakistan,2017,5
Denmark,2017,5
Lebanon,2017,5
United Kingdom,2002,5
United States,1973,5
Indonesia,2021,5
Switzerland,2018,5
Italy,2015,5
Sweden,2019,5
Thailand,2011,4
Philippines,2012,4
India,1990,4
Canada,2008,4
Sweden,2014,4
Israel,2015,4
South Korea,2009,4
Philippines,2014,4
United States,1967,4
Qatar,2016,4
Iceland,2018,4
Canada,2006,4
Nigeria,2021,4
Hong Kong,2015,4
China,2010,4
India,1983,4
Colombia,2021,4
Indonesia,2011,4
Peru,2017,4
Norway,2018,4
Netherlands,2019,4
Egypt,2009,4
Denmark,2019,4
Lebanon,2019,4
Australia,2009,4
Pakistan,2016,4
South Africa,2013,4
Kuwait,2019,4
Denmark,2020,4
Egypt,2014,4
United Arab Emirates,2015,4
France,2003,4
United Kingdom,2000,4
India,1993,4
Germany,2003,4
Germany,2010,4
Thailand,2012,4
Czech Republic,2018,4
Colombia,2016,4
China,2011,4
Israel,2017,4
Australia,2013,4
Poland,2019,4
Germany,2004,4
Lebanon,2018,4
Finland,2019,4
Thailand,2021,4
Italy,2013,4
Unknown,2008,4
Luxembourg,2018,4
United States,1945,4
Denmark,2015,4
Thailand,2010,4
Taiwan,2011,4
Chile,2018,4
Russia,2017,4
United Kingdom,1993,4
Australia,2014,4
Czech Republic,2016,4
Colombia,2017,4
Mexico,2014,4
Singapore,2018,4
Belgium,2020,4
Canada,2004,4
France,1993,4
Malaysia,2015,4
Ireland,2015,4
China,2014,4
France,2008,4
United Kingdom,2004,4
Poland,2021,4
Singapore,2011,4
Japan,2002,4
Austria,2020,3
United Kingdom,1998,3
Switzerland,2017,3
New Zealand,2015,3
Australia,2003,3
Japan,2007,3
United States,1971,3
Russia,2016,3
New Zealand,2017,3
Brazil,2013,3
Brazil,2015,3
Indonesia,2008,3
Nigeria,2014,3
Argentina,2006,3
India,1996,3
Romania,2016,3
Japan,1998,3
Germany,1999,3
Egypt,2020,3
Hong Kong,2007,3
United States,1982,3
Brazil,2012,3
China,2013,3
Greece,2011,3
Netherlands,2021,3
Denmark,2013,3
Russia,2018,3
United States,1977,3
Jordan,2016,3
Canada,2002,3
Egypt,2015,3
Germany,2007,3
France,2006,3
Mexico,2006,3
Singapore,2017,3
Mexico,2012,3
Belgium,2011,3
Japan,1997,3
Sweden,2021,3
Pakistan,2015,3
Italy,2014,3
South Africa,2012,3
Romania,2019,3
Morocco,2015,3
Hong Kong,2009,3
Uruguay,2019,3
Japan,2004,3
Denmark,2012,3
Brazil,2014,3
Singapore,2009,3
Canada,1997,3
United Arab Emirates,2017,3
Nigeria,2013,3
United States,1968,3
Unknown,1996,3
Sweden,2015,3
Turkey,2011,3
United States,1974,3
Poland,2017,3
France,2005,3
Lebanon,2014,3
Hong Kong,2011,3
New Zealand,2009,3
Argentina,2021,3
Israel,2021,3
United Kingdom,1999,3
United States,1978,3
Spain,2014,3
Nigeria,2010,3
Bulgaria,2017,3
Turkey,2012,3
United States,1944,3
Germany,2000,3
Poland,2016,3
Hong Kong,1992,3
United States,1943,3
Indonesia,2009,3
India,1980,3
Belgium,2014,3
Taiwan,2014,3
United Kingdom,1994,3
Hong Kong,1984,3
Saudi Arabia,2020,3
United Kingdom,1997,3
Chile,2017,3
France,1999,3
India,1997,3
Uruguay,2018,3
Greece,2016,3
Sweden,2020,3
Austria,2018,3
Australia,2005,3
Indonesia,2013,3
Chile,2013,3
Australia,2012,3
United Arab Emirates,2012,3
Switzerland,2013,3
Malaysia,2017,3
Canada,2000,3
France,2000,3
Hong Kong,1983,3
United States,1979,3
Turkey,2005,3
France,1997,3
Norway,2019,3
Australia,2007,3
Ireland,2010,3
Singapore,2015,3
Thailand,2014,3
Philippines,2008,3
Cambodia,2016,3
Spain,2011,3
Sweden,2018,3
Singapore,2016,3
Czech Republic,2005,3
Uruguay,2015,2
India,1971,2
Switzerland,2016,2
Unknown,1991,2
Hong Kong,1982,2
Turkey,2009,2
India,1975,2
Zimbabwe,2017,2
Italy,2011,2
Pakistan,2014,2
Serbia,2018,2
Hong Kong,2008,2
United Kingdom,1991,2
Hong Kong,1993,2
Unknown,1990,2
Malaysia,2020,2
Israel,2019,2
Lebanon,2010,2
Hong Kong,1973,2
France,1989,2
Unknown,1981,2
Kuwait,2017,2
France,2004,2
United States,1942,2
Israel,2014,2
Spain,2010,2
France,2007,2
United Kingdom,1982,2
Argentina,1985,2
Spain,2003,2
Portugal,2020,2
Russia,2019,2
Italy,2009,2
India,1973,2
Australia,1992,2
Taiwan,2002,2
India,1989,2
Norway,2017,2
Canada,2003,2
Canada,2005,2
Germany,1998,2
United Kingdom,1989,2
Israel,2013,2
United States,1962,2
South Korea,2010,2
India,1984,2
Nigeria,2012,2
Lebanon,2012,2
Austria,2017,2
United States,1960,2
Iceland,2017,2
Japan,1999,2
Iran,2018,2
Japan,1992,2
Romania,2015,2
Canada,2001,2
France,1994,2
Slovenia,2016,2
Ukraine,2015,2
Hong Kong,1978,2
Egypt,2021,2
Japan,2000,2
Spain,2004,2
India,1976,2
United Arab Emirates,2021,2
Hong Kong,1997,2
Bulgaria,2014,2
Hong Kong,2006,2
New Zealand,2019,2
United States,1972,2
Egypt,1979,2
Morocco,2014,2
Hong Kong,2004,2
United States,1965,2
Switzerland,2015,2
Malaysia,2019,2
France,1992,2
India,1977,2
Indonesia,2012,2
Australia,2008,2
Thailand,2007,2
United States,1983,2
China,2004,2
Ireland,2019,2
Colombia,2007,2
Switzerland,2014,2
Cambodia,2017,2
Bulgaria,2016,2
Czech Republic,2017,2
Chile,2020,2
Ghana,2018,2
Romania,2018,2
Chile,2019,2
Hong Kong,1995,2
Egypt,2007,2
India,1985,2
Hong Kong,1985,2
New Zealand,2003,2
Germany,2001,2
Spain,2012,2
Spain,2006,2
Czech Republic,2021,2
Thailand,2009,2
Russia,2013,2
Hong Kong,1980,2
United Kingdom,1977,2
Russia,2014,2
United States,1946,2
Sweden,2013,2
India,1979,2
Peru,2018,2
Bangladesh,2018,2
New Zealand,2007,2
United States,1958,2
United Arab Emirates,2009,2
Hungary,2016,2
Luxembourg,2019,2
Egypt,2004,2
Italy,1955,2
Peru,2015,2
Portugal,2016,2
India,1986,2
Turkey,2006,2
Vietnam,2019,2
Iceland,2020,2
Indonesia,2014,2
United States,1985,2
Denmark,2021,2
India,1974,2
Hungary,2019,2
Senegal,2019,2
India,1972,2
Unknown,2004,2
Germany,1997,2
Turkey,2004,2
Sweden,2012,2
Peru,2016,2
Taiwan,2004,2
Finland,2016,2
Singapore,2021,2
India,1988,2
Unknown,2003,2
Japan,2001,2
China,2012,2
Czech Republic,2006,2
France,1998,2
Egypt,1976,2
Israel,2020,2
Taiwan,2005,2
Canada,1998,2
Spain,2009,2
Unknown,1982,2
Mexico,2004,2
Colombia,2012,2
Colombia,2008,2
Uruguay,2017,2
Saudi Arabia,2014,2
Mexico,2013,2
Austria,2016,2
Kenya,2018,2
Ireland,2020,2
Mexico,1999,2
United Kingdom,1986,2
Argentina,2004,2
United States,1969,1
Syria,2018,1
Taiwan,2010,1
Netherlands,2012,1
Serbia,2019,1
Thailand,2006,1
Unknown,2001,1
Thailand,2005,1
Austria,2019,1
Chile,2008,1
Jordan,2017,1
United Kingdom,1990,1
Iran,2011,1
Turkey,1999,1
Finland,2020,1
Norway,2007,1
Unknown,2002,1
Unknown,1995,1
Saudi Arabia,2008,1
Russia,2012,1
United Kingdom,1971,1
Poland,1973,1
New Zealand,1998,1
Qatar,2021,1
Czech Republic,2004,1
Malta,2015,1
Greece,2021,1
Hong Kong,1986,1
Unknown,2006,1
Nigeria,2003,1
South Africa,2008,1
South Africa,2010,1
Serbia,2014,1
Malawi,2019,1
Italy,1984,1
Mexico,1991,1
China,2006,1
United States,1961,1
Egypt,1973,1
Montenegro,2015,1
Unknown,1988,1
Hong Kong,2000,1
Hungary,2003,1
Pakistan,2010,1
Japan,1995,1
Iraq,2015,1
Kenya,2020,1
Croatia,2016,1
India,1992,1
Ireland,2011,1
Argentina,2007,1
Finland,2014,1
Hong Kong,2002,1
New Zealand,2020,1
Thailand,1999,1
Malaysia,2014,1
Italy,2001,1
United Kingdom,1961,1
Poland,1978,1
Netherlands,2006,1
Poland,2015,1
Hong Kong,1975,1
Poland,1983,1
Italy,1965,1
Unknown,2007,1
South Korea,2008,1
"Poland,",1975,1
Argentina,1993,1
Iceland,2021,1
Venezuela,2017,1
Bahamas,2006,1
Hong Kong,2005,1
Croatia,2012,1
Taiwan,2008,1
Portugal,2018,1
West Germany,1986,1
West Germany,1985,1
Uganda,2018,1
India,1960,1
South Africa,2009,1
Mexico,1990,1
Cyprus,2017,1
Unknown,1984,1
Ireland,1998,1
Pakistan,2013,1
Egypt,1954,1
Hong Kong,1990,1
Cayman Islands,2018,1
Malaysia,2013,1
India,1969,1
Georgia,2017,1
Nigeria,2011,1
Mexico,2007,1
Switzerland,2010,1
Lebanon,2005,1
Norway,2021,1
Saudi Arabia,2017,1
United Arab Emirates,2002,1
Mexico,2001,1
Philippines,2006,1
Hong Kong,1988,1
Poland,2013,1
Netherlands,2005,1
India,1987,1
Namibia,2019,1
"Sweden,",2017,1
Saudi Arabia,2012,1
Uruguay,2004,1
Unknown,1992,1
Romania,2005,1
"United Kingdom,",2014,1
Senegal,2015,1
Sudan,2017,1
India,1978,1
Iraq,2018,1
Australia,1981,1
Cuba,2016,1
Luxembourg,2017,1
Iceland,2019,1
Panama,2015,1
Botswana,2016,1
Poland,2002,1
Spain,2008,1
Belgium,2007,1
Saudi Arabia,2019,1
Philippines,2010,1
New Zealand,2014,1
Brazil,2002,1
Italy,1991,1
Unknown,1997,1
Burkina Faso,1993,1
Japan,1986,1
Czech Republic,2020,1
Denmark,2005,1
South Korea,2004,1
Colombia,2015,1
South Africa,1986,1
Belgium,1999,1
Ghana,2017,1
Egypt,1956,1
China,2000,1
Malaysia,2006,1
Mexico,1994,1
Netherl,2014,1
 France,2014,1
Soviet Union,1984,1
Egypt,1999,1
Venezuela,2014,1
New Zealand,2002,1
Norway,2011,1
Romania,2014,1
Unknown,2000,1
Czech Republic,2014,1
Bangladesh,2012,1
Luxembourg,2011,1
Cayman Islands,2021,1
Italy,1968,1
Serbia,2016,1
Greece,2015,1
Qatar,2015,1
Austria,2014,1
Kenya,2017,1
New Zealand,2011,1
Malta,2018,1
Slovakia,2016,1
Ghana,1993,1
Hungary,2017,1
Kenya,2019,1
Vietnam,2016,1
Guatemala,2019,1
Latvia,2016,1
Philippines,2007,1
Afghanistan,2016,1
Algeria,2014,1
Hungary,2020,1
Italy,2010,1
Mexico,1993,1
India,1991,1
Lithuania,2015,1
Greece,2014,1
Egypt,1994,1
Vietnam,2015,1
United States,1956,1
Czech Republic,2009,1
Canada,1999,1
Poland,1967,1
Australia,2001,1
United States,1954,1
Pakistan,2020,1
New Zealand,2021,1
Vietnam,2020,1
Romania,2010,1
Hungary,2015,1
Ireland,2007,1
United States,1955,1
Canada,1989,1
Unknown,1999,1
"Cambodia,",2018,1
Taiwan,2007,1
Ireland,2014,1
Japan,1985,1
Mauritius,2021,1
Greece,2017,1
Serbia,2017,1
Lebanon,2003,1
Saudi Arabia,2013,1
United Kingdom,1995,1
Brazil,2008,1
Mauritius,2019,1
Nepal,2018,1
Belarus,2016,1
Egypt,1997,1
Thailand,2004,1
Poland,1982,1
Luxembourg,2016,1
Australia,1999,1
Philippines,2011,1
Slovenia,2015,1
Malaysia,2011,1
Luxembourg,2014,1
Jordan,2014,1
China,1997,1
Saudi Arabia,2021,1
Algeria,2020,1
Australia,2006,1
Cameroon,2020,1
Hungary,2021,1
United Kingdom,1979,1
Taiwan,2003,1
Unknown,2005,1
Lebanon,2020,1
Armenia,2017,1
Thailand,2013,1
India,1964,1
Israel,2012,1
United States,1947,1
Pakistan,2012,1
Belgium,1991,1
Hungary,2013,1
Ghana,2019,1
Somalia,2017,1
Namibia,2017,1
Colombia,2003,1
Lebanon,2013,1
Kuwait,2018,1
Japan,1996,1
Qatar,2019,1
United States,1975,1
Jamaica,2018,1
Egypt,1981,1
Mozambique,2019,1
Australia,2011,1
Egypt,1982,1
Unknown,1983,1
New Zealand,2005,1
South Africa,2014,1
Paraguay,2018,1
Luxembourg,2015,1
Lebanon,1999,1
Egypt,1989,1
Singapore,2010,1
Jordan,2021,1
Mexico,2008,1
Russia,2021,1
Syria,2017,1
South Africa,2002,1
Syria,2019,1
Lebanon,1980,1
Hungary,2018,1
Iran,2016,1
Canada,1993,1
France,1982,1
Egypt,1958,1
"United Kingdom,",2020,1
Singapore,2020,1
Poland,1970,1
Italy,2002,1
France,1980,1
Nicaragua,2015,1
Finland,2018,1
Hong Kong,1991,1
Denmark,1989,1
United States,1964,1
Chile,2006,1
Malaysia,2016,1
Egypt,1970,1
South Korea,2011,1
Unknown,1960,1
East Germany,1971,1
Hong Kong,1994,1
Georgia,2018,1
Poland,2014,1
Unknown,1985,1
India,1962,1
Venezuela,2016,1
Albania,2018,1
Nepal,2017,1
Lebanon,2007,1
United Kingdom,1975,1
Qatar,2018,1
France,1996,1
Ethiopia,1993,1
Argentina,2014,1
Soviet Union,1991,1
Turkey,2001,1
France,1974,1
United Kingdom,1965,1
Philippines,2021,1
Ireland,2021,1
Malaysia,2004,1
Egypt,1963,1
Luxembourg,2013,1
Ecuador,2014,1
Nigeria,2009,1
Sweden,2005,1
United Kingdom,1944,1
Finland,2017,1
China,1986,1
Italy,2003,1
Norway,1999,1
Mexico,1992,1
Angola,2020,1
Bulgaria,2015,1
Chile,2012,1
Switzerland,2009,1
Uruguay,2020,1
Indonesia,2002,1
Malaysia,2003,1
Indonesia,2005,1
Netherlands,2002,1
Singapore,2013,1
Kuwait,1981,1
West Germany,1971,1
Bulgaria,2018,1
United Kingdom,1974,1
Thailand,2008,1
Mongolia,2017,1
Australia,1990,1
Poland,1985,1
Poland,1989,1
Canada,1979,1
Lebanon,1982,1
Vietnam,2014,1
Taiwan,2021,1
Malaysia,2009,1
United Arab Emirates,2006,1
Jordan,2015,1
Romania,2003,1
Japan,1993,1
Russia,2020,1
United Kingdom,1962,1
Algeria,1979,1
Malta,2006,1
Norway,2013,1
Pakistan,2011,1
Australia,1993,1
Uruguay,2021,1
Croatia,2015,1
India,1959,1
Jordan,2019,1
Mexico,1979,1
Czech Republic,2013,1
Argentina,1998,1
Denmark,2007,1
Kenya,2014,1
Hong Kong,2012,1
Ireland,1989,1
Argentina,2013,1
India,1981,1
United Kingdom,1968,1
West Germany,1977,1
France,1991,1
Bangladesh,2017,1
Vietnam,2021,1
New Zealand,1993,1
United Kingdom,1996,1
"United States,",2018,1
Samoa,2017,1
Thailand,2002,1
Puerto Rico,2018,1
Japan,1979,1
Bermuda,2014,1
Indonesia,2003,1
Serbia,2015,1
Egypt,2005,1
Colombia,2010,1
Liechtenstein,1965,1
West Germany,1972,1
Norway,2012,1
Finland,2012,1
Greece,2012,1
Azerbaijan,2013,1
Qatar,2017,1
Russia,2011,1
Ireland,2013,1
China,2007,1
Lebanon,1975,1
Unknown,1925,1
United Kingdom,1972,1
Jordan,2012,1
Japan,1981,1
Malaysia,1960,1
Sweden,2011,1
Germany,1993,1
Lebanon,1979,1
Philippines,2009,1
Portugal,2014,1
Australia,1986,1
Morocco,2018,1
Mexico,1998,1
Dominican Republic,2017,1
Hong Kong,1989,1
Kazakhstan,2016,1
Hong Kong,1981,1
Spain,1993,1
Italy,1986,1
Italy,2006,1
 South Korea,2021,1
Australia,1979,1
United States,1963,1
France,1979,1
Palestine,2019,1
Iceland,2015,1
Sri Lanka,2010,1
Vatican City,2018,1
India,1966,1
Belgium,2012,1
Australia,1998,1
Qatar,2014,1
Spain,2001,1
Guatemala,2017,1
Saudi Arabia,2006,1
Poland,1990,1
Bulgaria,2020,1
Venezuela,2007,1
Croatia,2018,1
Zimbabwe,2014,1
Italy,1993,1
Saudi Arabia,2016,1
Soviet Union,1980,1
Unknown,1993,1
Canada,1980,1
Taiwan,2000,1
Hong Kong,2001,1
China,2005,1
Unknown,1994,1
France,1955,1
Ukraine,2017,1
Lebanon,2015,1
